reviewer,article,content,sugestion,decision
Christopher I. Amos,Small-Cell Assisted Group Paging for Massive MTC in LTE Networks: Design and Analysis.,content review,some sugestion,accepted
Mazen O. Hasna,Small-Cell Assisted Group Paging for Massive MTC in LTE Networks: Design and Analysis.,content review,some sugestion,accepted
Wirt Atmar,Small-Cell Assisted Group Paging for Massive MTC in LTE Networks: Design and Analysis.,content review,some sugestion,not accepted
John T. Fredricksen,A Wave Digital Newton-Raphson Method for Virtual Analog Modeling of Audio Circuits with Multiple One-Port Nonlinearities.,content review,some sugestion,accepted
K. R. Ramakrishnan,A Wave Digital Newton-Raphson Method for Virtual Analog Modeling of Audio Circuits with Multiple One-Port Nonlinearities.,content review,some sugestion,accepted
Di Li 0003,A Wave Digital Newton-Raphson Method for Virtual Analog Modeling of Audio Circuits with Multiple One-Port Nonlinearities.,content review,some sugestion,not accepted
Hidehisa Yoshida,A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,content review,some sugestion,accepted
Lukasz Maksymiuk,A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,content review,some sugestion,accepted
Erik Meineche Schmidt,A novel factorial design search to determine realizable constant sets for a multi-mechanism model of mixing sensitive precipitation.,content review,some sugestion,not accepted
Le Deng,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.,content review,some sugestion,accepted
Karl-Heinz Best,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.,content review,some sugestion,accepted
Osama Rashed Sayed,An O(n log n) Algorithm for Rectilinear Minimal Spanning Trees.,content review,some sugestion,not accepted
Arun Mittal,An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.,content review,some sugestion,accepted
Duyan Bi,An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.,content review,some sugestion,accepted
K. R. Ramakrishnan,An Energy Efficient Sink Location Service for Continuous Objects in Wireless Sensor Networks.,content review,some sugestion,not accepted
Chi-Wang Shu,Linear transformations for cross-lingual semantic textual similarity.,content review,some sugestion,accepted
Dan Suciu,Linear transformations for cross-lingual semantic textual similarity.,content review,some sugestion,accepted
Qiqi Wang,Linear transformations for cross-lingual semantic textual similarity.,content review,some sugestion,not accepted
S. Twomey,Offline signature verification using shape correspondence.,content review,some sugestion,accepted
David Perry,Offline signature verification using shape correspondence.,content review,some sugestion,accepted
Wirt Atmar,Offline signature verification using shape correspondence.,content review,some sugestion,not accepted
Duyan Bi,Analysis of the Reliability of LoRa.,content review,some sugestion,accepted
Chi-Sang Jung,Analysis of the Reliability of LoRa.,content review,some sugestion,accepted
Fabio Nobile,Analysis of the Reliability of LoRa.,content review,some sugestion,not accepted
Babak Farzad,Improved Electric Field Distribution Within Bushing Insulation by EP/GO Nanocomposites With Reduced Temperature Coefficient of Conductivity.,content review,some sugestion,accepted
Cynthia Jane Solomon,Improved Electric Field Distribution Within Bushing Insulation by EP/GO Nanocomposites With Reduced Temperature Coefficient of Conductivity.,content review,some sugestion,accepted
E. A. Mary Anita,Improved Electric Field Distribution Within Bushing Insulation by EP/GO Nanocomposites With Reduced Temperature Coefficient of Conductivity.,content review,some sugestion,not accepted
Adel El-Faraskoury,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices.",content review,some sugestion,accepted
Theodore Hailperin,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices.",content review,some sugestion,accepted
Daniela Guaiana,"Incomplete Markets, Allocative Efficiency, and the Information Revealed by Prices.",content review,some sugestion,not accepted
David Dagan Feng,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.,content review,some sugestion,accepted
Astrid Tannert,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.,content review,some sugestion,accepted
Theodore Hailperin,A forward-backward fragment assembling algorithm for the identification of genomic amplification and deletion breakpoints using high-density single nucleotide polymorphism (SNP) array.,content review,some sugestion,not accepted
Björn Berghausen,Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,content review,some sugestion,accepted
Lukasz Maksymiuk,Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,content review,some sugestion,accepted
Mazen O. Hasna,Comparison of four mathematical models to analyze indicator-dilution curves in the coronary circulation.,content review,some sugestion,not accepted
Renbiao Wu,Time discretization and stability regions for dissipative-dispersive Kuramoto-Sivashinsky equation arising in turbulent gas flow over laminar liquid.,content review,some sugestion,accepted
Osama Rashed Sayed,Time discretization and stability regions for dissipative-dispersive Kuramoto-Sivashinsky equation arising in turbulent gas flow over laminar liquid.,content review,some sugestion,accepted
Danni Zhu,Time discretization and stability regions for dissipative-dispersive Kuramoto-Sivashinsky equation arising in turbulent gas flow over laminar liquid.,content review,some sugestion,not accepted
Babak Farzad,Intraoperative visualization of cerebral oxygenation using hyperspectral image data: a two-dimensional mapping method.,content review,some sugestion,accepted
Abbas Heydari,Intraoperative visualization of cerebral oxygenation using hyperspectral image data: a two-dimensional mapping method.,content review,some sugestion,accepted
André Raspaud,Intraoperative visualization of cerebral oxygenation using hyperspectral image data: a two-dimensional mapping method.,content review,some sugestion,not accepted
Lukasz Maksymiuk,Drivers and barriers for secure hardware adoption across ecosystem stakeholders.,content review,some sugestion,accepted
Andrew J. Hinchley,Drivers and barriers for secure hardware adoption across ecosystem stakeholders.,content review,some sugestion,accepted
Hidehisa Yoshida,Drivers and barriers for secure hardware adoption across ecosystem stakeholders.,content review,some sugestion,not accepted
Dinesh Manocha,Development of a Novel Burned-Area Subpixel Mapping (BASM) Workflow for Fire Scar Detection at Subpixel Level.,content review,some sugestion,accepted
Fabian Rothmaier,Development of a Novel Burned-Area Subpixel Mapping (BASM) Workflow for Fire Scar Detection at Subpixel Level.,content review,some sugestion,accepted
Norman F. Schneidewind,Development of a Novel Burned-Area Subpixel Mapping (BASM) Workflow for Fire Scar Detection at Subpixel Level.,content review,some sugestion,not accepted
Aida Pliuskeviciene,Erste Überlegungen zur Erklärbarkeit von Deep-Learning-Modellen für die Analyse von Quellcode.,content review,some sugestion,accepted
E. Lerzan Örmeci,Erste Überlegungen zur Erklärbarkeit von Deep-Learning-Modellen für die Analyse von Quellcode.,content review,some sugestion,accepted
Louise A. Mawn,Erste Überlegungen zur Erklärbarkeit von Deep-Learning-Modellen für die Analyse von Quellcode.,content review,some sugestion,not accepted
Ahmed M. Mohamed,On the Convergence of Decentralized Gradient Descent.,content review,some sugestion,accepted
Fabio Nobile,On the Convergence of Decentralized Gradient Descent.,content review,some sugestion,accepted
Haowei Xu,On the Convergence of Decentralized Gradient Descent.,content review,some sugestion,not accepted
Wirt Atmar,Developing the New Learning Environment: The Changing Role of the Academic Librarian.,content review,some sugestion,accepted
Andrzej Omieljanowicz,Developing the New Learning Environment: The Changing Role of the Academic Librarian.,content review,some sugestion,accepted
Bita Alipasandi,Developing the New Learning Environment: The Changing Role of the Academic Librarian.,content review,some sugestion,not accepted
Amir Bozorgzadeh,"Deanna Marcum and Roger C. Schonfeld. Along Came Google: A History of Library Digitization. Princeton, NJ: Princeton University Press, 2021. 232p. Hardcover, $25.99 (ISBN: 978-0691172712).",content review,some sugestion,accepted
Amir Shmuel,"Deanna Marcum and Roger C. Schonfeld. Along Came Google: A History of Library Digitization. Princeton, NJ: Princeton University Press, 2021. 232p. Hardcover, $25.99 (ISBN: 978-0691172712).",content review,some sugestion,accepted
Adel El-Faraskoury,"Deanna Marcum and Roger C. Schonfeld. Along Came Google: A History of Library Digitization. Princeton, NJ: Princeton University Press, 2021. 232p. Hardcover, $25.99 (ISBN: 978-0691172712).",content review,some sugestion,not accepted
Dok Nam Lee,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels,content review,some sugestion,accepted
Amaro de Sousa,Fourier Transform over Finite Groups for Error Detection and Error Correction in Computation Channels,content review,some sugestion,accepted
