reviewer,article
Daniel Troy,A deep learning based method benefiting from characteristics of patents for semantic relation classification.
Karl-Heinz Best,A deep learning based method benefiting from characteristics of patents for semantic relation classification.
Di Li 0003,Generic Automorphisms with prescribed Fixed Fields.
Huiqin Xie,Generic Automorphisms with prescribed Fixed Fields.
David Dagan Feng,Generic Automorphisms with prescribed Fixed Fields.
Amir Bozorgzadeh,Ten Hot Topics around Scholarly Publishing.
Guangyuan Pan,Ten Hot Topics around Scholarly Publishing.
Fabio Nobile,Ten Hot Topics around Scholarly Publishing.
David Alan Grier,Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.
Arvind Ramanathan,Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.
Cynthia Jane Solomon,Reconstructing Binary Signals by Rule-Based Fuzzy Equalizer with Self-Organizing Capability.
John T. Fredricksen,Scene Coordinate Regression Network With Global Context-Guided Spatial Feature Transformation for Visual Relocalization.
Naohisa Komatsu,Scene Coordinate Regression Network With Global Context-Guided Spatial Feature Transformation for Visual Relocalization.
Osama Rashed Sayed,Scene Coordinate Regression Network With Global Context-Guided Spatial Feature Transformation for Visual Relocalization.
S. Twomey,Shape-Driven EIT Reconstruction Using Fourier Representations.
Theodore Hailperin,Shape-Driven EIT Reconstruction Using Fourier Representations.
Akira Suzuki,Shape-Driven EIT Reconstruction Using Fourier Representations.
Jiaqi Zhang 0001,Computing the Newton Polygon of the Implicit Equation.
Bettina Klaus,Computing the Newton Polygon of the Implicit Equation.
Chi-Wang Shu,Computing the Newton Polygon of the Implicit Equation.
N. C. Simpson,Neutrosophic Logic Based Quantum Computing.
Laurent Chupin,Neutrosophic Logic Based Quantum Computing.
Anita Schöbel,Neutrosophic Logic Based Quantum Computing.
Le Deng,On the origin of distribution patterns of motifs in biological networks.
Lianjun Xiao,On the origin of distribution patterns of motifs in biological networks.
Kanad Chakraborty,On the origin of distribution patterns of motifs in biological networks.
Cynthia Jane Solomon,Vector quantization of excitation gains in speech coding.
Abbas Heydari,Vector quantization of excitation gains in speech coding.
Lukasz Maksymiuk,Vector quantization of excitation gains in speech coding.
Oliver Marschollek,Constructing Optimal Highways.
Huijun Wu,Constructing Optimal Highways.
Fabio Nobile,Constructing Optimal Highways.
Di Li 0003,Annular Neighboring Points Distribution Analysis: A Novel PLS Stem Point Cloud Preprocessing Algorithm for DBH Estimation.
Moulay A. Barkatou,Annular Neighboring Points Distribution Analysis: A Novel PLS Stem Point Cloud Preprocessing Algorithm for DBH Estimation.
Arturo Molina 0001,Annular Neighboring Points Distribution Analysis: A Novel PLS Stem Point Cloud Preprocessing Algorithm for DBH Estimation.
Christopher I. Amos,Factor copula models for multivariate data.
Danni Zhu,Factor copula models for multivariate data.
C. G. Parthipan,Factor copula models for multivariate data.
Abbas Heydari,#IamMetiria: A qualitative case study of agonistic welfare policy debates on Twitter.
Jiaqi Zhang 0001,#IamMetiria: A qualitative case study of agonistic welfare policy debates on Twitter.
Hai-Wei Sun,#IamMetiria: A qualitative case study of agonistic welfare policy debates on Twitter.
Huijun Wu,Finite-Time Peak-To-Peak Filtering for Nonlinear Singular System.
S. Twomey,Finite-Time Peak-To-Peak Filtering for Nonlinear Singular System.
Dok Nam Lee,Finite-Time Peak-To-Peak Filtering for Nonlinear Singular System.
Theodore Hailperin,MagicVO: An End-to-End Hybrid CNN and Bi-LSTM Method for Monocular Visual Odometry.
Ahmed M. Mohamed,MagicVO: An End-to-End Hybrid CNN and Bi-LSTM Method for Monocular Visual Odometry.
C. G. Parthipan,MagicVO: An End-to-End Hybrid CNN and Bi-LSTM Method for Monocular Visual Odometry.
E. Lerzan Örmeci,"Statistical Modeling, Simulation, and Experimental Verification of Wideband Indoor Mobile Radio Channels."
Arvind Ramanathan,"Statistical Modeling, Simulation, and Experimental Verification of Wideband Indoor Mobile Radio Channels."
Björn Berghausen,"Statistical Modeling, Simulation, and Experimental Verification of Wideband Indoor Mobile Radio Channels."
Christopher I. Amos,Interpreting AI and its place in our worlds.
Astrid Tannert,Interpreting AI and its place in our worlds.
Vera Tilson,Interpreting AI and its place in our worlds.
Arthur J. Davidson,Acoustic Features for the Identification of Coronary Artery Disease.
Daniel Troy,Acoustic Features for the Identification of Coronary Artery Disease.
Naohisa Komatsu,Acoustic Features for the Identification of Coronary Artery Disease.
Ming Zhang,A CCD-ADI method for unsteady convection-diffusion equations.
Abbas Heydari,A CCD-ADI method for unsteady convection-diffusion equations.
Theodosios Pavlidis,A CCD-ADI method for unsteady convection-diffusion equations.
Hai-Wei Sun,A Novel Decentralized Analytical Methodology for Cyber Physical Networks Attack Detection.
Huiqin Xie,A Novel Decentralized Analytical Methodology for Cyber Physical Networks Attack Detection.
Arvind Ramanathan,A Novel Decentralized Analytical Methodology for Cyber Physical Networks Attack Detection.
Bita Alipasandi,Generalized techniques for solving intuitionistic fuzzy multi-objective non-linear optimization problems.
Gabriel M. Silberman,Generalized techniques for solving intuitionistic fuzzy multi-objective non-linear optimization problems.
K. R. Ramakrishnan,Generalized techniques for solving intuitionistic fuzzy multi-objective non-linear optimization problems.
Arun Mittal,Maximizing Barber's bipartite modularity is also hard.
Abbas Heydari,Maximizing Barber's bipartite modularity is also hard.
Kanad Chakraborty,Maximizing Barber's bipartite modularity is also hard.
Christopher I. Amos,Austin Group Status Update.
Cynthia Jane Solomon,Austin Group Status Update.
Adriano Meta,Austin Group Status Update.
Haowei Xu,Incremental holistic controller.
Karl-Heinz Best,Incremental holistic controller.
Adriano Meta,Incremental holistic controller.
Luca Schenato 0001,Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.
Huiqin Xie,Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.
Karl-Heinz Best,Prediction of Subsurface NMR T2 Distributions in a Shale Petroleum System Using Variational Autoencoder-Based Neural Networks.
Hidehisa Yoshida,Polar permutation graphs are polynomial-time recognisable.
Di Li 0003,Polar permutation graphs are polynomial-time recognisable.
Louise A. Mawn,Polar permutation graphs are polynomial-time recognisable.
Wirt Atmar,Newly Elected CIS Administrative Committee Members (2021-2023) [Society Briefs].
David T. Wong,Newly Elected CIS Administrative Committee Members (2021-2023) [Society Briefs].
Andrew J. Hinchley,Newly Elected CIS Administrative Committee Members (2021-2023) [Society Briefs].
Fabio Nobile,Temperament trait Harm Avoidance associates with μ-opioid receptor availability in frontal cortex: A PET study using [
Anton Schiela,Temperament trait Harm Avoidance associates with μ-opioid receptor availability in frontal cortex: A PET study using [
Heike Siebert,Temperament trait Harm Avoidance associates with μ-opioid receptor availability in frontal cortex: A PET study using [
Daniel Cullina,Reversible computing and implicit computational complexity.
Gabriel M. Silberman,Reversible computing and implicit computational complexity.
Erik Meineche Schmidt,Reversible computing and implicit computational complexity.
M. I. Cohen,"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs."
Oliver Marschollek,"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs."
Constant Solimando,"SaffronTree: Fast, reference-free pseudo-phylogenomic trees from reads or contigs."
Ming Zhang,An Adaptive Infeasible-Interior-Point Method with the One-Norm Wide Neighborhood for Semi-definite Programming.
Christopher I. Amos,An Adaptive Infeasible-Interior-Point Method with the One-Norm Wide Neighborhood for Semi-definite Programming.
E. A. Mary Anita,An Adaptive Infeasible-Interior-Point Method with the One-Norm Wide Neighborhood for Semi-definite Programming.
Fabian Rothmaier,Multi-Agent Deep Reinforcement Learning for Trajectory Design and Power Allocation in Multi-UAV Networks.
Huijun Wu,Multi-Agent Deep Reinforcement Learning for Trajectory Design and Power Allocation in Multi-UAV Networks.
Chaojiang Wu,Multi-Agent Deep Reinforcement Learning for Trajectory Design and Power Allocation in Multi-UAV Networks.
Osama Rashed Sayed,Multi-Invariance ESPRIT-Based Blind DOA Estimation for MC-CDMA With an Antenna Array.
Theodore Hailperin,Multi-Invariance ESPRIT-Based Blind DOA Estimation for MC-CDMA With an Antenna Array.
Mazen O. Hasna,Multi-Invariance ESPRIT-Based Blind DOA Estimation for MC-CDMA With an Antenna Array.
Amir Bozorgzadeh,Notes on the simulation of evolution.
Chia-Lung Yeh,Notes on the simulation of evolution.
David Perry,Notes on the simulation of evolution.
Jiang Ma,Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.
Amir Shmuel,Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.
Dinesh Manocha,Functional Fault Simulation as a Guide for Biased-Random Test Pattern Generation.
Qiqi Wang,A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.
E. Lerzan Örmeci,A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.
Heike Siebert,A Reliable Protection Scheme for Fast DC Fault Clearance in a VSC-Based Meshed MTDC Grid.
Laurent Chupin,CMPF: Class-switching minimized pathfinding in metabolic networks.
Fabio Nobile,CMPF: Class-switching minimized pathfinding in metabolic networks.
Hady Pranoto,CMPF: Class-switching minimized pathfinding in metabolic networks.
Bita Alipasandi,An autonomous IoT service placement methodology in fog computing.
C. G. Parthipan,An autonomous IoT service placement methodology in fog computing.
Amir Shmuel,An autonomous IoT service placement methodology in fog computing.
Erik Meineche Schmidt,Quantum Indistinguishability of Random Sponges.
Amir Shmuel,Quantum Indistinguishability of Random Sponges.
Amir Bozorgzadeh,Quantum Indistinguishability of Random Sponges.
Aida Pliuskeviciene,Sybase System 11 Online Capabilities.
C. G. Parthipan,Sybase System 11 Online Capabilities.
Ilan Abramovici,Sybase System 11 Online Capabilities.
Chih-Yuan Yao,ILClass: Error-driven antecedent learning for evolving Takagi-Sugeno classification systems.
Chaojiang Wu,ILClass: Error-driven antecedent learning for evolving Takagi-Sugeno classification systems.
Daniel Cullina,ILClass: Error-driven antecedent learning for evolving Takagi-Sugeno classification systems.
Arvind Ramanathan,New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.
C. G. Parthipan,New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.
Dariusz Fabianowski,New Proposed Algorithms for nth Order Butterworth Active Filter Computer-Aided Design.
Roy Edgar Hansen,A new lower bound for the minimum distance of a cyclic code.
Arthur J. Davidson,A new lower bound for the minimum distance of a cyclic code.
Keecheon Kim,A new lower bound for the minimum distance of a cyclic code.
Kanad Chakraborty,A Stochastic Joint Replenishment Problem with Dissimilar Items.
Chi-Wang Shu,A Stochastic Joint Replenishment Problem with Dissimilar Items.
Christopher I. Amos,A Stochastic Joint Replenishment Problem with Dissimilar Items.
Lianjun Xiao,Gains and limits of diversity techniques in cognitive radio systems.
Duyan Bi,Gains and limits of diversity techniques in cognitive radio systems.
Constant Solimando,Gains and limits of diversity techniques in cognitive radio systems.
Chaojiang Wu,An accuracy improved hearing aid readout circuit using a gain-enhanced and OTA-free pseudo-PLL feedback technique.
